test	analysis	variable	value
slim	rho_0.0001	d	0.8261670761670762
imp1	rho_0.0001	d	0.8212146577009916
imp2	rho_0.0001	d	0.8212146467658604
slim	rho_0.0001	d	0.8212146538515114
imp1	rho_0.0001	d	0.8196301742918984
imp2	rho_0.0001	d	0.8196301630208639
slim	rho_0.0001	d	0.8196301713330547
imp1	rho_0.0001	d	0.8244531022960653
imp2	rho_0.0001	d	0.8244530946197591
slim	rho_0.0001	d	0.8244531025991331
imp1	rho_0.0001	d	0.8250560651759546
imp2	rho_0.0001	d	0.8250560634498991
slim	rho_0.0001	d	0.8250560662866143
imp1	rho_0.0001	d	0.8257950408633754
imp2	rho_0.0001	d	0.8257950406435939
slim	rho_0.0001	d	0.8257950408681916
imp1	rho_0.0001	d	0.8253682150774488
imp2	rho_0.0001	d	0.8253682123234012
slim	rho_0.0001	d	0.8253682150581935
imp1	rho_0.0001	d	0.822118618970769
imp2	rho_0.0001	d	0.8221186274314479
slim	rho_0.0001	d	0.8221186221186221
imp1	rho_0.0001	d	0.8254246661807396
imp2	rho_0.0001	d	0.8254246598075008
slim	rho_0.0001	d	0.8254246613025239
imp1	rho_0.0001	d	0.8235915709163861
imp2	rho_0.0001	d	0.8235915809191113
slim	rho_0.0001	d	0.8235915793062303
imp1	rho_0.0001	d	0.8260794867898452
imp2	rho_0.0001	d	0.8260794930484814
slim	rho_0.0001	d	0.8260794918018715
imp1	rho_0.0001	d	0.8281399998296775
imp2	rho_0.0001	d	0.8281399950042145
slim	rho_0.0001	d	0.8281399972576443
imp1	rho_0.0001	d	0.8240459160163282
imp2	rho_0.0001	d	0.8240459061017338
slim	rho_0.0001	d	0.8240459130195714
imp1	rho_0.0001	d	0.8209088982274058
imp2	rho_0.0001	d	0.8209089065792509
slim	rho_0.0001	d	0.8209088991986504
imp1	rho_0.0001	d	0.8217262985605049
imp2	rho_0.0001	d	0.8217262940959145
slim	rho_0.0001	d	0.8217262983482628
imp1	rho_0.0001	d	0.824316734406329
imp2	rho_0.0001	d	0.8243167328456984
slim	rho_0.0001	d	0.8243167305236271
imp1	rho_0.0001	d	0.8284368474764208
imp2	rho_0.0001	d	0.8284368600342444
slim	rho_0.0001	d	0.8284368540544205
imp1	alpha_0.7	d	0.8149836904779166
imp2	alpha_0.7	d	0.8149836828138421
slim	alpha_0.7	d	0.8149836892052195
imp1	alpha_0.7	d	0.8101484363550462
imp2	alpha_0.7	d	0.8101484424772574
slim	alpha_0.7	d	0.8101484358873314
imp1	alpha_0.7	d	0.811840857418822
imp2	alpha_0.7	d	0.8118408620040525
slim	alpha_0.7	d	0.8118408570950282
imp1	alpha_0.7	d	0.8099971850416148
imp2	alpha_0.7	d	0.8099971817076534
slim	alpha_0.7	d	0.8099971759390003
imp1	alpha_0.7	d	0.8084216674202458
imp2	alpha_0.7	d	0.8084216689890185
slim	alpha_0.7	d	0.808421675824684
imp1	alpha_0.7	d	0.811047748763047
imp2	alpha_0.7	d	0.8110477429212273
slim	alpha_0.7	d	0.8110477456028644
imp1	alpha_0.7	d	0.8138482585030213
imp2	alpha_0.7	d	0.8138482615160161
slim	alpha_0.7	d	0.8138482565011821
imp1	alpha_0.7	d	0.813161595227343
imp2	alpha_0.7	d	0.813161597233314
slim	alpha_0.7	d	0.813161595973055
imp1	alpha_0.7	d	0.8151610040333015
imp2	alpha_0.7	d	0.8151610051815561
slim	alpha_0.7	d	0.8151610124447866
imp1	alpha_0.7	d	0.8133771481269825
imp2	alpha_0.7	d	0.8133771414631402
slim	alpha_0.7	d	0.8133771441300959
imp1	alpha_0.7	d	0.8116143829960125
